title,address,website,phone,profiles
Dr Sharad Gupta Sarkar Hospital Agra,"Sarkar Hospital, Delhi Gate Rd, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",,,
Javithri Devi Memorial Hospital,"5X9M+JJC, Kheria Rd, Ayodhya Kunj-A, Dashrath Kunj - B, Jodha Bai ka Rauza, Arjun Nagar, Agra, Uttar Pradesh 282001",#,0562 240 0069,
Saran Ashram Hospital,"Dayal Bagh Rd, Near REI Inter College, Swamibagh, DayalBagh, Agra, Uttar Pradesh 282005",https://sahospital.org.in/,099992 57431,
Jai Hospital,"Bypass Rd, near Shree Talkies, Nehru Nagar, Civil Lines, Agra, Uttar Pradesh 282002",#,0562 404 3000,
JD Hospital & Research Centre,"5XWW+HQ4, Hariparwat, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",,,
Jp Hospital,"11/129, Dhakran Rd, Dhakran Crossing, Nai ki Mandi, Mantola, Agra, Uttar Pradesh 282010",,,
Moolchand Hospital,"6WC5+QWV, NH2, Artauni, Agra, Uttar Pradesh 282007",https://www.moolchandhealthcare.com/,0562 306 6666,
Anand Mangal Hospital (Centre for Best Advance Laparoscopic Surgery In Agra),"Sri Ram Theater C-2, 51, 100 Feet Rd, Professors Colony, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282005",http://www.amhagra.co.in/,0562 410 0046,<br/>https://www.facebook.com/amhagra/
Pareek Hospital & Research Centre,"4, 10, Bagh Farzana Rd, Lajpat Kunj, Civil Lines, Agra, Uttar Pradesh 282003",http://www.pareekhospital.com/,0562 403 7325,<br/>https://twitter.com/pareekhospital<br/>https://www.facebook.com/PareekHospitalResearchCenter/
NEW LIFE HOSPITAL,"Krishna Enclave, Gulab Nagar, Kalindi Vihar, Agra, Uttar Pradesh 282006",https://newlifehospitalagra.com/,090275 08732,
Khyati Hospital Agra,"138, Pashchimpuri Rd, Gorakhpuri Colony, Paschim Puri, Dahtaura, Lohamandi, Agra, Uttar Pradesh 282007",,,
Ram Tej Hospital - Best Dialysis Center in Agra,"Minto Rd, Shamshabad, Road, near Gol Market, Vibhav Nagar, Tajganj, Agra, Uttar Pradesh 282001",https://www.ramtejhospital.com/,098370 23595,<br/>https://www.facebook.com/ramtejhospitalagra/
Shanti Ved Institute Of Medical Sciences | Super Speciality Tertiary Care Hospital,"610, Kakretha Road, NH 19, near Guru ka Taal, Agra, Uttar Pradesh 282007",http://shantived.com/,081222 22222,<br/>https://in.linkedin.com/company/shantived-institute-of-medical-sciences<br/>https://www.facebook.com/SVIMSAGRA/
Government Hospital,"43C5+9QW, MDR 113W, Baroli Ahir, Agra, Uttar Pradesh 282001",,,
Shanti Ved Hospital,"49, Old Vijay Nagar Colony Rd, North Vijay Nagar Colony, Old Vijayanagar Colony, Vijayanagar Colony, Civil Lines, Agra, Uttar Pradesh 282004",#,063961 00697,<br/>https://www.facebook.com/ShantiVed/
City Hospital,"71, Bodla Rd, Near Police Station, COD Colony, Saket Colony, Shahganj, Agra, Uttar Pradesh 282010",#,0562 221 6915,
